measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Global,Both,All Ages,Other pharynx cancer,Number,2009,84726.92623744572,88450.97849832351,80646.30438919779
Deaths,Global,Both,All Ages,Gallbladder and biliary tract cancer,Number,2009,139888.8166238213,148091.4078111368,119337.49321003148
Deaths,Global,Both,All Ages,Pancreatic cancer,Number,2009,374120.0657992225,386836.9767930296,352811.1060508631
Deaths,Global,Both,All Ages,Malignant skin melanoma,Number,2009,52080.66292778105,58088.274314478585,38578.86446831058
Deaths,Global,Both,All Ages,Non-melanoma skin cancer,Number,2009,41560.90433038656,43427.5499947241,38163.10752983085
Deaths,Global,Both,All Ages,Ovarian cancer,Number,2009,151330.61154980055,163230.83591798393,140865.51744698352
Deaths,Global,Both,All Ages,Testicular cancer,Number,2009,9001.869908299219,9930.810871296004,8550.561516229302
Deaths,Global,Both,All Ages,Kidney cancer,Number,2009,127847.23435271412,131660.5914572271,121695.87118498735
Deaths,Global,Both,All Ages,Bladder cancer,Number,2009,177161.5394299736,183687.4941114225,165600.1753269516
Deaths,Global,Both,All Ages,Brain and central nervous system cancer,Number,2009,202691.24299061677,219709.64780295393,160399.10351186225
Deaths,Global,Both,All Ages,Thyroid cancer,Number,2009,36165.8730793561,37813.21253094436,32705.623288681003
Deaths,Global,Both,All Ages,Mesothelioma,Number,2009,23729.416897950578,25097.378400420308,21708.43939474335
Deaths,Global,Both,All Ages,Hodgkin lymphoma,Number,2009,25945.714590399857,30077.277472884114,22736.99895024154
Deaths,Global,Both,All Ages,Non-Hodgkin lymphoma,Number,2009,198042.84069666904,205491.7065917857,188118.19051224165
Deaths,Global,Both,All Ages,Multiple myeloma,Number,2009,85558.62289947411,91670.4979539426,75831.66544663104
Deaths,Global,Both,All Ages,Mesothelioma,Number,2007,22232.402662454428,23647.529041355796,20377.758143685984
Deaths,Global,Both,All Ages,Hodgkin lymphoma,Number,2007,25815.469001105692,30211.834506238803,22643.465548620698
Deaths,Global,Both,All Ages,Non-Hodgkin lymphoma,Number,2007,186172.85505941926,193143.3221171269,177538.36878461065
Deaths,Global,Both,All Ages,Multiple myeloma,Number,2007,81322.9618307348,87253.42614519835,71863.57926239565
Deaths,Global,Both,All Ages,Esophageal cancer,Number,2005,469651.71744869824,508684.3557482558,335775.47308728844
Deaths,Global,Both,All Ages,Stomach cancer,Number,2005,946191.122052743,996526.655535424,899908.7687621262
Deaths,Global,Both,All Ages,Liver cancer,Number,2005,358847.553734062,376106.1227050501,343186.9857214133
Deaths,Global,Both,All Ages,Esophageal cancer,Number,2008,455860.8049203255,489316.3418431859,350762.5345550154
Deaths,Global,Both,All Ages,Stomach cancer,Number,2008,921303.8326717787,966955.7038032166,868531.3270067965
Deaths,Global,Both,All Ages,Liver cancer,Number,2008,376325.14145114843,392192.401301673,357491.9630151005
Deaths,Global,Both,All Ages,Leukemia,Number,2009,296962.0845455046,315465.74004409637,272699.2974473674
Deaths,Global,Both,All Ages,Leukemia,Number,2007,290358.7614149466,310741.9107455279,266983.0070671799
Deaths,Global,Both,All Ages,Larynx cancer,Number,2008,102196.82344347482,106418.74411925003,98454.70882745831
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Number,2008,1590730.1043523266,1648787.6288761394,1516831.785586322
Deaths,Global,Both,All Ages,Breast cancer,Number,2008,540036.2398488424,559618.3871118306,512601.8803476076
Deaths,Global,Both,All Ages,Cervical cancer,Number,2008,231302.61004984306,262945.9981723505,208019.59828132007
Deaths,Global,Both,All Ages,Uterine cancer,Number,2008,77051.50468045974,81407.86262079356,67091.3665079954
Deaths,Global,Both,All Ages,Prostate cancer,Number,2008,362153.29355815216,426314.89176502335,299945.75575590756
Deaths,Global,Both,All Ages,Colon and rectum cancer,Number,2008,819316.5471788275,852812.0455210021,773702.1095242008
Deaths,Global,Both,All Ages,Lip and oral cavity cancer,Number,2008,149223.7770735242,155829.48766788963,142706.34777056417
Deaths,Global,Both,All Ages,Nasopharynx cancer,Number,2008,60272.61418001348,63652.12286801968,57188.004577300286
Deaths,Global,Both,All Ages,Other pharynx cancer,Number,2008,83622.7566042797,87648.41479909729,79744.79045214459
Deaths,Global,Both,All Ages,Gallbladder and biliary tract cancer,Number,2008,137885.90666139656,146365.12245878432,119122.15293023085
Deaths,Global,Both,All Ages,Pancreatic cancer,Number,2008,360718.74037423724,373412.3545276465,341582.80554245744
Deaths,Global,Both,All Ages,Malignant skin melanoma,Number,2008,50946.41376887714,57365.082479135905,38051.270839533245
Deaths,Global,Both,All Ages,Non-melanoma skin cancer,Number,2008,39967.448257078075,41848.68701020089,36603.045762223024
Deaths,Global,Both,All Ages,Ovarian cancer,Number,2008,147422.4673212465,159629.31586877696,137209.6586895945
Deaths,Global,Both,All Ages,Testicular cancer,Number,2008,8829.138523929321,9775.182239025335,8374.727455341801
Deaths,Global,Both,All Ages,Kidney cancer,Number,2008,124512.30079943844,128315.23073458597,118964.51044035927
Deaths,Global,Both,All Ages,Bladder cancer,Number,2008,173536.11612213406,180264.58020671422,162985.21836728396
Deaths,Global,Both,All Ages,Brain and central nervous system cancer,Number,2008,198623.91000218355,216591.17191444777,156423.03097374912
Deaths,Global,Both,All Ages,Thyroid cancer,Number,2008,35272.350488659125,36943.375196665496,32399.724881831353
Deaths,Global,Both,All Ages,Mesothelioma,Number,2008,23056.060808691112,24455.767309867224,21173.25552200939
Deaths,Global,Both,All Ages,Hodgkin lymphoma,Number,2008,25989.03273204565,30294.445168350445,22719.81925686991
Deaths,Global,Both,All Ages,Non-Hodgkin lymphoma,Number,2008,192483.981917993,199883.4815177314,183154.17022844456
Deaths,Global,Both,All Ages,Multiple myeloma,Number,2008,83520.0247796008,89611.43433571301,73706.52294027516
Deaths,Global,Both,All Ages,Esophageal cancer,Number,2009,453420.8960621931,484264.39032486355,359848.61400918185
Deaths,Global,Both,All Ages,Stomach cancer,Number,2009,920023.8330403065,965854.1745993632,866628.5924868636
Deaths,Global,Both,All Ages,Liver cancer,Number,2009,381199.34151327,398019.5762450296,361889.5969176482
Deaths,Global,Both,All Ages,Esophageal cancer,Number,2012,448068.46054382273,479785.57070072746,387818.7260190376
Deaths,Global,Both,All Ages,Stomach cancer,Number,2012,915311.5693586827,968344.8880643743,860937.7651850309
Deaths,Global,Both,All Ages,Liver cancer,Number,2012,398129.300722634,417796.5651423092,378466.6166987791
Deaths,Global,Both,All Ages,Larynx cancer,Number,2013,109894.4240777319,114763.99141520353,105055.01744386148
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Number,2013,1765969.598718473,1852053.362145483,1663650.1556680633
Deaths,Global,Both,All Ages,Breast cancer,Number,2013,603007.5713883096,629490.8393204582,566820.2566017561
Deaths,Global,Both,All Ages,Cervical cancer,Number,2013,250613.4480868315,276444.01205221796,219868.21220576912
Deaths,Global,Both,All Ages,Uterine cancer,Number,2013,82613.92148628224,88076.34626283593,74430.10929363046
Deaths,Global,Both,All Ages,Prostate cancer,Number,2013,405088.5039128951,493446.7096273651,348632.91649561684
Deaths,Global,Both,All Ages,Colon and rectum cancer,Number,2013,912372.6913208326,952549.909678178,853826.9924091743
Deaths,Global,Both,All Ages,Lip and oral cavity cancer,Number,2013,170708.86688249322,179179.27563659888,162056.9003438709
Deaths,Global,Both,All Ages,Nasopharynx cancer,Number,2013,64040.42026156725,68122.93598500123,60443.1032463736
Deaths,Global,Both,All Ages,Other pharynx cancer,Number,2013,94781.04883987462,99336.90844944614,90487.77849964047
Deaths,Global,Both,All Ages,Gallbladder and biliary tract cancer,Number,2013,150636.76885867104,160156.745350236,127229.28735480171
Deaths,Global,Both,All Ages,Pancreatic cancer,Number,2013,429480.830048075,446760.368846117,403035.57372179383
Deaths,Global,Both,All Ages,Malignant skin melanoma,Number,2013,56464.13187800227,62088.87795665792,41144.25647706323
Deaths,Global,Both,All Ages,Non-melanoma skin cancer,Number,2013,48042.49560957667,50419.19374245249,43605.175547780935
Deaths,Global,Both,All Ages,Ovarian cancer,Number,2013,166257.56763715393,178849.29338172328,152675.5811874169
Deaths,Global,Both,All Ages,Testicular cancer,Number,2013,9628.33275275356,10469.811361976055,9156.692332138682
Deaths,Global,Both,All Ages,Kidney cancer,Number,2013,141658.20001558674,146721.35743821712,133958.6189363933
Deaths,Global,Both,All Ages,Bladder cancer,Number,2013,194242.78876211715,202176.20904923,180802.17902235966
Deaths,Global,Both,All Ages,Brain and central nervous system cancer,Number,2013,218827.31161016703,236147.79220510906,169603.51667075642
Deaths,Global,Both,All Ages,Thyroid cancer,Number,2013,39786.67476879532,41571.292381417836,35778.398623728295
Deaths,Global,Both,All Ages,Leukemia,Number,2010,299602.51955848595,318171.15252722247,275376.99321885756
Deaths,Global,Both,All Ages,Esophageal cancer,Number,2011,450189.35575772275,483342.94621224934,380083.1703648734
Deaths,Global,Both,All Ages,Stomach cancer,Number,2011,918144.5857493896,970805.217686289,859661.4295072748
Deaths,Global,Both,All Ages,Liver cancer,Number,2011,391138.6155361715,411155.17734601494,369490.2678788375
Deaths,Global,Both,All Ages,Esophageal cancer,Number,2010,453113.96185884275,484659.1448583265,365887.9992614937
Deaths,Global,Both,All Ages,Stomach cancer,Number,2010,922293.2090739211,969791.8153451245,869750.1791651096
Deaths,Global,Both,All Ages,Liver cancer,Number,2010,386341.703839248,404997.2754356357,366366.7017666614
Deaths,Global,Both,All Ages,Larynx cancer,Number,2011,106525.96554286912,111407.9959397467,101815.70400846134
Deaths,Global,Both,All Ages,"Tracheal, bronchus, and lung cancer",Number,2011,1704610.3890593543,1781802.6418689922,1611217.6576019556
Deaths,Global,Both,All Ages,Breast cancer,Number,2011,577279.8584765038,600391.1804273443,546019.4743149664
Deaths,Global,Both,All Ages,Cervical cancer,Number,2011,241568.84554721022,270937.6597356147,214929.6296418541
Deaths,Global,Both,All Ages,Uterine cancer,Number,2011,80763.4187783907,85732.26809854496,71283.27370662152
Deaths,Global,Both,All Ages,Prostate cancer,Number,2011,386456.1713535133,464715.00182263216,332211.60790292465
Deaths,Global,Both,All Ages,Colon and rectum cancer,Number,2011,875886.1497458171,913777.397298974,821166.5735331379
Deaths,Global,Both,All Ages,Lip and oral cavity cancer,Number,2011,161518.21191938483,169338.82283417985,154312.90071793282
Deaths,Global,Both,All Ages,Nasopharynx cancer,Number,2011,62448.83308283823,66276.73384613641,58989.46247696659
Deaths,Global,Both,All Ages,Other pharynx cancer,Number,2011,90123.5066742638,94527.77915834196,85667.30572334446
Deaths,Global,Both,All Ages,Leukemia,Number,2014,311751.8893583431,329658.40856888745,287016.2612483576
Deaths,Global,Both,All Ages,Mesothelioma,Number,2013,26445.955309321005,27889.03854745014,24187.681694730185
Deaths,Global,Both,All Ages,Hodgkin lymphoma,Number,2013,26270.75761821709,30265.599548788927,22757.299384612077
Deaths,Global,Both,All Ages,Non-Hodgkin lymphoma,Number,2013,220618.76144098912,230150.82226621883,208728.01851919485
Deaths,Global,Both,All Ages,Multiple myeloma,Number,2013,95367.49300492997,101690.14261014196,84144.62147997173
Deaths,Global,Both,All Ages,Gallbladder and biliary tract cancer,Number,2011,145574.55906743385,154399.45287261665,123389.88950878292
Deaths,Global,Both,All Ages,Pancreatic cancer,Number,2011,402385.28148831235,419259.87655680726,377805.7527479043
Deaths,Global,Both,All Ages,Malignant skin melanoma,Number,2011,54313.576827733654,59775.847521570286,39916.21661797556
Deaths,Global,Both,All Ages,Non-melanoma skin cancer,Number,2011,45003.62964036604,47105.81705013397,40976.20545286538
Deaths,Global,Both,All Ages,Ovarian cancer,Number,2011,157101.59671920617,169458.2632684749,144782.5633085293
Deaths,Global,Both,All Ages,Testicular cancer,Number,2011,9274.774644416564,10205.996349468354,8831.166893585825
Deaths,Global,Both,All Ages,Kidney cancer,Number,2011,135052.270784419,139425.15209043102,127999.47740417793
Deaths,Global,Both,All Ages,Bladder cancer,Number,2011,185989.37101871215,193413.16422631804,173667.59587517535
