measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Zambia,Both,All Ages,Total cancers,Rate,1990,58.24265371499034,67.78510373835717,49.74038242264615
Deaths,Mongolia,Both,All Ages,Total cancers,Number,1995,3295.3487429587876,3834.1663875037148,2815.5115907825916
Deaths,Mongolia,Both,All Ages,Total cancers,Percent,1995,0.1509006664555582,0.16059822564036158,0.1396172779314191
Deaths,Mongolia,Both,All Ages,Total cancers,Rate,1995,141.8465571270995,165.03967984630728,121.19221874689079
Deaths,Brazil,Both,All Ages,Total cancers,Number,1995,136658.7230570611,143082.79629257476,131482.96965949482
Deaths,Brazil,Both,All Ages,Total cancers,Percent,1995,0.13515243430794113,0.1411410303352068,0.13008006755487192
Deaths,Brazil,Both,All Ages,Total cancers,Rate,1995,84.61197026545013,88.58942213553233,81.4074130825667
Deaths,Australia,Both,All Ages,Total cancers,Number,1995,34468.582326228796,35378.170686443635,32787.83029998416
Deaths,Australia,Both,All Ages,Total cancers,Percent,1995,0.2782990103260939,0.2853618255080611,0.2651708680974759
Deaths,Australia,Both,All Ages,Total cancers,Rate,1995,192.67594321326692,197.760451580379,183.28070673677652
Deaths,United Kingdom,Both,All Ages,Total cancers,Number,1995,167722.52429007852,171428.3387046904,160225.39992062195
Deaths,United Kingdom,Both,All Ages,Total cancers,Percent,1995,0.26629797580997977,0.27204055399686716,0.2549456014805772
Deaths,United Kingdom,Both,All Ages,Total cancers,Rate,1995,287.61259650671195,293.967371516627,274.756437708959
Deaths,Sudan,Both,All Ages,Total cancers,Number,1990,8372.418980327819,10360.89253197224,5954.124204436332
Deaths,Sudan,Both,All Ages,Total cancers,Percent,1990,0.032930937362423744,0.03983942798791035,0.023464602097192665
Deaths,Sudan,Both,All Ages,Total cancers,Rate,1990,41.45019440328443,51.29473461025619,29.477694123416153
Deaths,Finland,Both,All Ages,Total cancers,Number,1995,10492.188008241397,10792.35305747858,9991.251792105622
Deaths,Finland,Both,All Ages,Total cancers,Percent,1995,0.21458402415720582,0.22017358478203916,0.20509830236662815
Deaths,Finland,Both,All Ages,Total cancers,Rate,1995,204.8636580899753,210.72448616217451,195.0827024278474
Deaths,India,Both,All Ages,Total cancers,Number,1995,422552.6102931673,460616.70254910254,384180.04673149146
Deaths,India,Both,All Ages,Total cancers,Percent,1995,0.051724799933846884,0.05587929454735048,0.04740447900991547
Deaths,India,Both,All Ages,Total cancers,Rate,1995,44.97528988595147,49.02672287146426,40.89102409794435
Deaths,South Africa,Both,All Ages,Total cancers,Number,1995,35006.91384391884,38660.202351466665,31903.791402010207
Deaths,South Africa,Both,All Ages,Total cancers,Percent,1995,0.09820573923791225,0.10925169069277842,0.08867331152944585
Deaths,South Africa,Both,All Ages,Total cancers,Rate,1995,85.03939940247453,93.91403090843902,77.50124080018192
Deaths,Egypt,Both,All Ages,Total cancers,Number,1995,26605.378598657673,28535.78768125932,25256.709441138475
Deaths,Egypt,Both,All Ages,Total cancers,Percent,1995,0.062065815320202666,0.06662911195226437,0.058442637523630776
Deaths,Egypt,Both,All Ages,Total cancers,Rate,1995,43.41357214677178,46.56353498866631,41.212868798199935
Deaths,Mexico,Both,All Ages,Total cancers,Number,1995,54179.880556241405,55479.45197810089,51954.40586099617
Deaths,Mexico,Both,All Ages,Total cancers,Percent,1995,0.11959581044726991,0.12327103435152781,0.11469600916157768
Deaths,Mexico,Both,All Ages,Total cancers,Rate,1995,57.70744969895848,59.091634228108695,55.3370777506693
Deaths,Canada,Both,All Ages,Total cancers,Number,1995,58906.7651301039,60352.47766156647,56235.10090707679
Deaths,Canada,Both,All Ages,Total cancers,Percent,1995,0.28401669110052935,0.2906974704094304,0.2716672018802736
Deaths,Canada,Both,All Ages,Total cancers,Rate,1995,202.87002235299025,207.84893662414498,193.6690319497982
Deaths,Iran (Islamic Republic of),Both,All Ages,Total cancers,Number,1995,29222.920270408693,31104.54497112088,26909.455339516684
Deaths,Iran (Islamic Republic of),Both,All Ages,Total cancers,Percent,1995,0.09856472872648445,0.10537668343270305,0.09035424102348733
Deaths,Iran (Islamic Republic of),Both,All Ages,Total cancers,Rate,1995,47.56482499855621,50.62746038113165,43.79930281391667
Deaths,Zambia,Both,All Ages,Total cancers,Number,1995,5351.51798983023,6407.5010700228195,4426.917015375109
Deaths,Zambia,Both,All Ages,Total cancers,Percent,1995,0.03603744279755121,0.04213911902390061,0.029494828955130198
Deaths,Zambia,Both,All Ages,Total cancers,Rate,1995,60.453053578267294,72.38189355338102,50.00836249183663
Deaths,Japan,Both,All Ages,Total cancers,Number,1995,284495.9105299264,292159.77817988687,268588.7065427835
Deaths,Japan,Both,All Ages,Total cancers,Percent,1995,0.31349381252543673,0.32201785271472644,0.2960932273256055
Deaths,Japan,Both,All Ages,Total cancers,Rate,1995,222.85019307499851,228.85342307684132,210.38982598847278
Deaths,Germany,Both,All Ages,Total cancers,Number,1995,211384.04029861116,216813.72043505101,200937.4074569819
Deaths,Germany,Both,All Ages,Total cancers,Percent,1995,0.2430184908809577,0.24910350521590804,0.23147977649440804
Deaths,Germany,Both,All Ages,Total cancers,Rate,1995,258.5111726883713,265.151375881625,245.7355094797412
Deaths,Kenya,Both,All Ages,Total cancers,Number,1995,8157.287983033919,9373.540278337437,7001.239545597451
Deaths,Kenya,Both,All Ages,Total cancers,Percent,1995,0.03068149814313134,0.036203595133904094,0.025593432511324128
Deaths,Kenya,Both,All Ages,Total cancers,Rate,1995,30.222059991399842,34.72817157036968,25.938998598712015
Deaths,China,Both,All Ages,Total cancers,Number,1995,1620663.193091395,1765358.2594471897,1489593.2036109467
Deaths,China,Both,All Ages,Total cancers,Percent,1995,0.19316113388365336,0.19965342860185314,0.18665330894163867
Deaths,China,Both,All Ages,Total cancers,Rate,1995,129.65108553799624,141.22651497021343,119.16564569458298
Deaths,Argentina,Both,All Ages,Total cancers,Number,1995,60856.35972552285,62366.69252268229,58686.577735864084
Deaths,Argentina,Both,All Ages,Total cancers,Percent,1995,0.23291568187713765,0.2386111414544941,0.22462419574208273
