measure,location,sex,age,cause,metric,year,val,upper,lower
YLLs (Years of Life Lost),Poland,Both,All Ages,Total cancers,Number,1990,2145081.484230999,2185150.730582869,2107213.0527292523
YLLs (Years of Life Lost),Poland,Both,All Ages,Total cancers,Percent,1990,0.22551767036926748,0.22952382987752717,0.2217180257833209
YLLs (Years of Life Lost),Poland,Both,All Ages,Total cancers,Rate,1990,5621.605814169102,5726.615115641767,5522.364178702744
YLLs (Years of Life Lost),United Kingdom,Both,All Ages,Total cancers,Number,1990,3524640.4957346283,3574852.778806912,3434283.44006832
YLLs (Years of Life Lost),United Kingdom,Both,All Ages,Total cancers,Percent,1990,0.28782191721966494,0.29164585106234586,0.28044803523048545
YLLs (Years of Life Lost),United Kingdom,Both,All Ages,Total cancers,Rate,1990,6132.666107930295,6220.032512240705,5975.450172413545
YLLs (Years of Life Lost),Ukraine,Both,All Ages,Total cancers,Number,1990,3227924.158288555,3291765.429713231,3157054.7203183207
YLLs (Years of Life Lost),Ukraine,Both,All Ages,Total cancers,Percent,1990,0.21356454348694268,0.21815162108867175,0.20868514941319255
YLLs (Years of Life Lost),Ukraine,Both,All Ages,Total cancers,Rate,1990,6129.368235149511,6250.593716906023,5994.797266119086
YLLs (Years of Life Lost),Latvia,Both,All Ages,Total cancers,Number,2000,134716.18959671375,138127.14979059692,130768.3949424662
YLLs (Years of Life Lost),Latvia,Both,All Ages,Total cancers,Percent,2000,0.18227166440539366,0.18544289595041258,0.17825994854948182
YLLs (Years of Life Lost),Latvia,Both,All Ages,Total cancers,Rate,2000,5649.88399107147,5792.936800472434,5484.316794702262
YLLs (Years of Life Lost),Congo,Both,All Ages,Total cancers,Number,2000,63296.64318296851,79672.07982518124,47242.28174932398
YLLs (Years of Life Lost),Congo,Both,All Ages,Total cancers,Percent,2000,0.02891611711590459,0.034871486268992835,0.02264714510682273
YLLs (Years of Life Lost),Congo,Both,All Ages,Total cancers,Rate,2000,1988.5760036254665,2503.039310336109,1484.1998425044007
