location,year,Health_Cost_of_GDP,Health_Cost,GDP,GNI,Number,Percent,Rate
Japan,1990,NA,NA,19570.54854,2435060000000,241522.86777910896,0.29773599739807177,191.88791981992162
Argentina,1990,NA,NA,7191.10509,224272000000,56195.93261916873,0.22313553836425631,169.66998089417945
China,1990,NA,NA,981.8745585,1117590000000,1457221.875997313,0.1744599416812886,123.10923870925328
Mongolia,1990,NA,NA,3344.44522,7180362669,2918.7357284643836,0.14125922601822685,135.52333883961657
South Africa,1990,NA,NA,6416.79111,227420000000,27613.51142964621,0.09397747497626871,74.97670372474076
Canada,1990,NA,NA,NA,NA,53415.88396833699,0.28058754901580435,195.9722289685859
Kenya,1990,NA,NA,1475.529788,34004786253,6879.551862185681,0.03564518987614936,29.661593748899183
Brazil,1990,NA,NA,NA,NA,117343.6222015441,0.1192586254112122,78.84114203801458
Egypt,1990,NA,NA,3711.12162,202965000000,23551.86212261469,0.05063700665751276,42.284929811734315
Mexico,1990,NA,NA,8081.835772,660402000000,46808.49676103191,0.10626917225092683,54.75466115261217
Finland,1990,NA,NA,18102.29572,88712468951,10248.596356899527,0.20766803883982404,204.55687245786223
United Kingdom,1990,NA,NA,16991.5821,991196000000,168423.74767666098,0.2641162480478256,293.0473648013802
United States of America,1990,NA,NA,23888.60001,5902290000000,533586.9401896982,0.2502221502439934,210.400317598638
Australia,1990,NA,NA,17331.02529,285303000000,31053.72230568468,0.26391106791631763,184.18313166118264
India,1990,NA,NA,1200.902462,1034990000000,375900.69852625026,0.045417803193866416,43.93490079336028
United States of America,1995,NA,NA,28690.8757,7574690000000,576091.7655444494,0.24977989209510504,215.59386731417186
Iran,1990,NA,NA,7197.185958,405507000000,26599.076867317137,0.07451664408221571,45.43738162072726
Germany,1990,NA,NA,19415.9836,1558980000000,200841.78455188248,0.2225207316556584,251.23655647269308
Zambia,1990,NA,NA,1474.776388,10842442196,4626.22183748723,0.04057281849373153,58.24265371499034
Mongolia,1995,NA,NA,3127.477063,7054317796,3295.3487429587876,0.1509006664555582,141.8465571270995
Brazil,1995,NA,NA,NA,NA,136658.7230570611,0.13515243430794113,84.61197026545013
Australia,1995,NA,NA,20876.65666,364256000000,34468.582326228796,0.2782990103260939,192.67594321326692
United Kingdom,1995,NA,NA,20504.93855,1154410000000,167722.52429007852,0.26629797580997977,287.61259650671195
Sudan,1990,NA,NA,1130.580248,26635189024,8372.418980327819,0.032930937362423744,41.45019440328443
Finland,1995,NA,NA,19539.53346,96886149558,10492.188008241397,0.21458402415720582,204.8636580899753
India,1995,NA,NA,1573.332562,1499610000000,422552.6102931673,0.051724799933846884,44.97528988595147
South Africa,1995,NA,NA,6711.594666,272958000000,35006.91384391884,0.09820573923791225,85.03939940247453
Egypt,1995,NA,NA,4461.845397,279635000000,26605.378598657673,0.062065815320202666,43.41357214677178
Mexico,1995,NA,NA,8482.6126,748698000000,54179.880556241405,0.11959581044726991,57.70744969895848
Canada,1995,NA,NA,NA,NA,58906.7651301039,0.28401669110052935,202.87002235299025
Iran,1995,NA,NA,8772.380298,536255000000,29222.920270408693,0.09856472872648445,47.56482499855621
Zambia,1995,NA,NA,1450.69643,12357554570,5351.51798983023,0.03603744279755121,60.453053578267294
Japan,1995,NA,NA,23817.71619,2961900000000,284495.9105299264,0.31349381252543673,222.85019307499851
Germany,1995,NA,NA,23507.69054,1917430000000,211384.04029861116,0.2430184908809577,258.5111726883713
Kenya,1995,NA,NA,1539.749283,41741567404,8157.287983033919,0.03068149814313134,30.222059991399842
China,1995,NA,NA,1861.388294,2206750000000,1620663.193091395,0.19316113388365336,129.65108553799624
Argentina,1995,NA,NA,9963.360902,340727000000,60856.35972552285,0.23291568187713765,173.8981838774377
Sudan,1995,NA,NA,1436.815862,39185064664,9507.911231189582,0.03710469448157097,39.91297654569773
United Kingdom,2000,7.28434992,2054.18042,26421.01179,1561860000000,164399.7455291754,0.2710386218574161,276.0342342114118
Zambia,2005,6.86332226,48.21477509,2185.944181,23952035539,6253.687396645477,0.0384994333229452,54.55561808388425
Germany,2000,9.8881979,2344.354736,27210.87226,2224460000000,241632.84321708386,0.2892568926774422,293.5405984949972
Sudan,2000,3.60664463,15.23164654,1824.609584,58212531349,10334.99886978371,0.04102068460370105,37.93034021247673
Mongolia,2000,4.87263823,27.00856018,3729.2515,8899686950,3423.101303785713,0.16373954681727196,139.73558930697703
Mexico,2000,4.44912481,318.4615173,11089.81343,1073240000000,60420.2281653841,0.1334915338335464,59.71625149332941
Kenya,2000,4.63926125,20.51720238,1617.534955,51242963036,9959.498981324965,0.030552286907666707,32.0576661984398
Mexico,2005,5.83612156,483.0953674,12657.63767,1313760000000,69298.68062399178,0.13927907176745352,64.21280267712854
Canada,2000,8.27567863,2007.880859,29362.94525,877389000000,62940.648359363026,0.29335472725865697,207.70482304508982
Japan,2000,7.15091324,2740.674805,27282.60244,3452930000000,320720.92468972056,0.330985757504669,248.56124120958447
Zambia,2000,7.15237093,24.72463989,1644.919753,16390516773,5758.158775024392,0.03423728119004828,58.151586628545004
Argentina,2000,8.46696377,708.7695313,11618.79323,417017000000,67042.73410339301,0.2391090899299347,182.14472650965547
United States of America,2000,12.54207516,4564.455078,36334.90878,10383700000000,595483.3680925256,0.2493266512898433,212.1560546021654
Brazil,2000,NA,NA,NA,NA,162222.49328763373,0.1545961614213774,93.10127961013973
Finland,2000,7.09253168,1722.832642,26796.36034,137839000000,10776.397300339191,0.2188676950301223,207.65370397476346
